Fold,Model,Target,Train RMSE,Train MAE,Train R2,Test RMSE,Test MAE,Test R2
5,2 BayesianRidge,homo,0.9083742069067805,0.6502737629357512,0.17319856996787308,0.9211954162858251,0.6600936037542298,0.16637958321816737
6,2 BayesianRidge,homo,0.9088588143828039,0.6503339475064596,0.1721215288433371,0.9168825509815306,0.6568342359495153,0.1759195880362754
7,2 BayesianRidge,homo,0.9087856684840443,0.6505860320801496,0.1716082729503603,0.9175570031620649,0.6550868114656613,0.1803486694637575
8,2 BayesianRidge,homo,0.9087189462255185,0.6500705555818872,0.17185093856120104,0.918124987940743,0.6577886142908707,0.17826179054719882
9,2 BayesianRidge,homo,0.9103043280134108,0.6518022461958384,0.17365819993088627,0.903865309600159,0.6473166761665713,0.16192131722950154
10,2 BayesianRidge,homo,0.91016221664853,0.6516786491763699,0.1737056234078046,0.905076625470359,0.646412268940648,0.16162101039803178
Average,2 BayesianRidge,homo,0.9096245724459789,0.651048400854951,0.17258106558322978,0.9099365228709161,0.6512961886668909,0.1718481840248725
STD,2 BayesianRidge,homo,0.0010013443300230672,0.0007342861626139707,0.0006898921123434288,0.009064689018060883,0.006202302358050415,0.006226070539824948
1,3 ElasticNetRegressor,homo,1.0000022228508392,0.707801595288958,0.0,0.9999814879661568,0.7083723355308836,-2.986366626300807e-05
2,3 ElasticNetRegressor,homo,0.9992975581673346,0.7075542449422879,0.0,1.0062996959236212,0.7108668239279696,-3.043610474762204e-09
3,3 ElasticNetRegressor,homo,1.0012443103558244,0.708643370228308,0.0,0.9887318166752451,0.700885052452469,-1.3871942549092964e-05
4,3 ElasticNetRegressor,homo,1.001849421604987,0.7089081845721723,0.0,0.983199336603102,0.6986213235359013,-1.6789313110887605e-06
5,3 ElasticNetRegressor,homo,0.9989970009929876,0.7072275107808761,0.0,1.0089858812776895,0.7142594520494775,-8.055794664385552e-05
6,3 ElasticNetRegressor,homo,0.9988795662435553,0.7072347560758574,0.0,1.010028753765473,0.7139811444503448,-2.222190508516242e-05
7,3 ElasticNetRegressor,homo,0.998489708871831,0.7068223939016401,0.0,1.0134925211448516,0.7173016292595283,-9.5239195172514e-06
8,3 ElasticNetRegressor,homo,0.9985626687204385,0.7068764016095875,0.0,1.0128468928990786,0.7166520017252019,-4.0219733702606675e-05
9,3 ElasticNetRegressor,homo,1.0013980621465182,0.7085624524183914,0.0,0.9873277025504383,0.7017917416280947,-5.8847986483812065e-09
10,3 ElasticNetRegressor,homo,1.001270461462017,0.7092255642577511,0.0,0.9884937725905809,0.6961391189459756,-4.044215486964653e-05
Average,3 ElasticNetRegressor,homo,0.9999990981416331,0.707885647407583,0.0,0.9999387861396236,0.7078870623505847,-2.3838912835083548e-05
STD,3 ElasticNetRegressor,homo,0.0012505606451564389,0.0008364179045478732,0.0,0.011270654046469243,0.007499113653609977,2.3940439221277283e-05
1,4 KNeighborsRegressor,homo,0.7364091248073535,0.5425966653869495,0.45770401178933195,0.9115475866259485,0.6707518082403824,0.1690254172541953
2,4 KNeighborsRegressor,homo,0.7368891023707292,0.5425368444170794,0.4562307866307562,0.9105656577314719,0.6689195909873943,0.18121881965292053
3,4 KNeighborsRegressor,homo,0.738835959400308,0.5442258371682633,0.45547737845982617,0.8953472810543457,0.6574870324590506,0.17996565255631958
4,4 KNeighborsRegressor,homo,0.738969705773991,0.544172171828116,0.4559380347422318,0.8948098825497409,0.6617104349521042,0.1717162914857081
5,4 KNeighborsRegressor,homo,0.7360559589849296,0.5419467033073928,0.4571331816110312,0.9131445435320494,0.6727984881860254,0.1808869167411683
6,4 KNeighborsRegressor,homo,0.7364761569164735,0.5423082526136433,0.4563853844003729,0.9166489948207308,0.6732081070101271,0.17633936817784468
7,4 KNeighborsRegressor,homo,0.735992895858875,0.5427944875826638,0.4566745373073703,0.9276544937562906,0.6762550772460096,0.1622092806943436
8,4 KNeighborsRegressor,homo,0.7357516898319978,0.5411530049841141,0.45710994676768657,0.9229890036804514,0.6800314006536791,0.1695319659733967
9,4 KNeighborsRegressor,homo,0.7389997160944622,0.5442689361104255,0.4554032442875704,0.8939825166321388,0.6592243893414657,0.18014809859230085
10,4 KNeighborsRegressor,homo,0.7384800127518195,0.5441643664557368,0.4560303337673669,0.8929466395442753,0.656906561934749,0.18394260888804026
Average,4 KNeighborsRegressor,homo,0.737286032279094,0.5430167269854385,0.4564086839763545,0.9079636599927443,0.6677292891010987,0.1754984420016238
STD,4 KNeighborsRegressor,homo,0.001293106303874562,0.0010610645573452735,0.0007099512175336838,0.012200653901577652,0.00787967542061156,0.006661457232731192
1,6 LinearRegression,homo,0.9060936813953787,0.6484756002699952,0.17899789046988268,0.9062202992025918,0.6498951689581356,0.17870983699717957
2,6 LinearRegression,homo,0.9056354812059131,0.648726861963289,0.1786709086205136,0.9103362369361251,0.6491169092343287,0.18163135830688315
3,6 LinearRegression,homo,0.9073855434764724,0.6493937280050395,0.17869665962406,0.8944855416321111,0.6426219135816831,0.18154339981555878
4,6 LinearRegression,homo,0.9080187675269612,0.6500236414841808,0.1785431675242236,0.8887138414374134,0.6378174217033133,0.18296348981254773
5,6 LinearRegression,homo,0.904721776192619,0.6478867764639894,0.1798340815719971,0.9185519612514348,0.6581531979585467,0.17115701974781605
6,6 LinearRegression,homo,0.9053653775379207,0.6480272643999082,0.17847363272925587,0.9127767215635139,0.6537909845514439,0.18328357987742938
7,6 LinearRegression,homo,0.9051549161370692,0.6481009183124882,0.1782141806047559,0.9147105712307622,0.6534976815388419,0.1854262022725769
